Date,Type,Link
2025-10-13 21:14:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7383451217512976385
2025-10-11 05:51:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7380762096805933056
2025-10-10 16:38:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7382066416663035904
2025-10-10 16:37:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7382395748723888128
2025-10-10 16:36:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7381998112573231106
2025-10-09 23:47:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7382062602346057728
2025-10-08 01:49:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7381389356025946113
2025-10-08 01:49:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7380944290685919233
2025-10-03 00:11:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7379500490918612992
2025-09-27 10:23:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7376956258060349440
2025-09-27 10:22:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7376318090365779968
2025-09-25 20:14:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7377030442077540353
2025-09-25 15:55:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7375678855296069632
2025-09-22 13:19:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7375801478118191104
2025-09-21 03:38:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7372358353647419392
2025-09-19 14:09:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7374788718836064256
2025-09-18 16:33:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7373384965129916416?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7373384965129916416%2C7373970718058758144%29
2025-09-18 16:33:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7373384965129916416
2025-09-17 12:07:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7373468934529818625
2025-09-12 20:58:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7363333870244540416
2025-09-11 17:44:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7371579634091589632
2025-09-11 13:03:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7371586432932397056
2025-09-08 11:12:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7369762618170982400
2025-09-03 14:30:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7368407692257808384
2025-08-29 06:42:34,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7357128988059705345
2025-08-28 21:04:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7366917024784068608
2025-08-27 03:03:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7366214013828984832?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7366214013828984832%2C7366240957089972224%29
2025-08-26 20:57:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7364686717523480577?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7364686717523480577%2C7366114594718687233%29
2025-08-20 19:10:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7363619058975477760
2025-08-17 17:44:47,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7184234798721179648
2025-08-17 17:44:35,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7244818023725830144
2025-08-17 17:44:32,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7244818339485691908
2025-08-17 17:44:13,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7359748800954920960
2025-08-17 17:44:12,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7359749186428305408
2025-08-03 12:59:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7356482178605568003
2025-08-03 12:59:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7356235358394556417
2025-07-29 11:13:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7355637780460285953
2025-07-25 16:57:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7354436358884515842
2025-07-23 14:19:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7353133353954430976
2025-07-21 15:05:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7352935230665539584
2025-07-17 22:00:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7351642760296235011
2025-07-17 13:15:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7351448087648763904
2025-07-15 20:51:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7350885306109181953
2025-07-14 00:43:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7349505462192480258
2025-07-10 21:55:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7348442780064534529
