Ad clicked Date,Ad Title/Id
2025/12/05 03:32:38 UTC,508889354
2026/06/07 23:11:49 UTC,1291895614
2025/12/05 03:32:38 UTC,508889354
2026/06/07 23:11:55 UTC,1291895614
2025/12/05 03:32:39 UTC,508889354
2026/06/07 23:11:55 UTC,1291895614
2025/07/23 12:49:47 UTC,427864244
2026/06/07 23:11:56 UTC,1291895614
2025/07/23 12:49:50 UTC,427864244
2026/06/07 23:12:01 UTC,1291895614
2025/07/23 12:49:45 UTC,427864244
2026/06/07 23:12:05 UTC,1291895614
2025/07/23 12:49:47 UTC,427864244
2026/06/07 23:12:08 UTC,1291895614
2025/07/23 12:50:06 UTC,706210504
2026/06/07 23:12:11 UTC,1291895614
2025/12/13 04:42:02 UTC,933864103
2026/06/07 23:12:17 UTC,1291895614
2025/12/13 04:42:04 UTC,933864103
2026/06/04 02:21:53 UTC,1267395503
2025/06/20 04:10:21 UTC,715290546
2026/06/04 02:21:56 UTC,1267395503
2026/06/04 02:22:01 UTC,1267395503
