Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2023-07-28 19:46:29,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7090779566595559425,Andres Diaz #reconocimiento Hiciste un #buentrabajo,"","",MEMBER_NETWORK
2023-07-27 14:57:07,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7090344360336060417,"","","",MEMBER_NETWORK
2023-07-25 01:34:34,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7089417614015225856,"","","",MEMBER_NETWORK
2023-07-21 18:39:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7088225874969251840,"","","",MEMBER_NETWORK
2023-07-17 23:28:40,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7086849217515663360,"","","",MEMBER_NETWORK
2023-07-17 23:26:30,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7086848669882142720,"","","",MEMBER_NETWORK
2023-07-17 21:10:38,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7086814479052627968,"","","",MEMBER_NETWORK
2023-07-13 13:56:00,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7085255550166257664,"","","",MEMBER_NETWORK
2023-07-05 19:40:27,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7082443129257095168,"","","",MEMBER_NETWORK
2023-07-05 19:39:17,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7082442836385619968,"","","",MEMBER_NETWORK
2023-06-22 01:27:29,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7077457030608756736,"","","",MEMBER_NETWORK
2023-06-20 14:03:33,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7076922528501243904,"","","",MEMBER_NETWORK
2023-06-20 14:02:48,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7076922339023572992,"","","",MEMBER_NETWORK
2023-06-18 22:57:37,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7076332152086228992,"","","",MEMBER_NETWORK
2023-06-18 18:46:49,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7076269037936074752,"","","",MEMBER_NETWORK
2023-06-15 14:53:21,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7075123120826675200,"","","",MEMBER_NETWORK
2023-05-27 17:51:16,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7068282526804402176,"","","",MEMBER_NETWORK
2023-05-26 20:38:18,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7067962170969350145,"","","",MEMBER_NETWORK
2023-05-24 14:11:59,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7067140177952919552,"","","",MEMBER_NETWORK
2023-04-07 17:35:36,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7050159190119505920,"","","",MEMBER_NETWORK
2023-04-07 10:20:09,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7050049602959372288,"","","",MEMBER_NETWORK
2023-04-04 23:21:49,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7049159154514415617,"","","",MEMBER_NETWORK
